,location,beds,size_sqft,bath,balcony,price
0,Electronic City Phase II,2 BHK,1056.0,2.0,1.0,39070.0
1,Chikka Tirupathi,4 BHK,2600.0,5.0,3.0,120000.0
2,Uttarahalli,3 BHK,1440.0,2.0,3.0,62000.0
3,Lingadheeranahalli,3 BHK,1521.0,3.0,1.0,95000.0
4,Kothanur,2 BHK,1200.0,2.0,1.0,51000.0
5,Whitefield,2 BHK,1170.0,2.0,1.0,38000.0
6,Old Airport Road,4 BHK,2732.0,4.0,,204000.0
7,Rajaji Nagar,4 BHK,3300.0,4.0,,600000.0
8,Marathahalli,3 BHK,1310.0,3.0,1.0,63250.0
9,Gandhi Bazar,6 BHK,1020.0,6.0,,370000.0
10,Whitefield,3 BHK,1800.0,2.0,2.0,70000.0
11,Whitefield,4 BHK,2785.0,5.0,3.0,295000.0
12,7th Phase JP Nagar,2 BHK,1000.0,2.0,1.0,38000.0
13,Gottigere,2 BHK,1100.0,2.0,2.0,40000.0
14,Sarjapur,3 BHK,2250.0,3.0,2.0,148000.0
15,Mysore Road,2 BHK,1175.0,2.0,2.0,73500.0
16,Bisuvanahalli,3 BHK,1180.0,3.0,2.0,48000.0
17,Raja Rajeshwari Nagar,3 BHK,1540.0,3.0,3.0,60000.0
18,Ramakrishnappa Layout,3 BHK,2770.0,4.0,2.0,290000.0
19,Manayata Tech Park,2 BHK,1100.0,2.0,2.0,48000.0
20,Kengeri,1 BHK,600.0,1.0,1.0,15000.0
21,Binny Pete,3 BHK,1755.0,3.0,1.0,122000.0
22,Thanisandra,4 BHK,2800.0,5.0,2.0,380000.0
23,Bellandur,3 BHK,1767.0,3.0,1.0,103000.0
24, Thanisandra,1 RK,510.0,1.0,0.0,25250.0
25,Mangammanapalya,3 BHK,1250.0,3.0,2.0,56000.0
26,Electronic City,2 BHK,660.0,1.0,1.0,23100.0
27,Whitefield,3 BHK,1610.0,3.0,2.0,81000.0
28,Ramagondanahalli,2 BHK,1151.0,2.0,2.0,48770.0
29,Electronic City,3 BHK,1025.0,2.0,1.0,47000.0
30,Yelahanka,4 BHK,2475.0,4.0,0.0,186000.0
31,Bisuvanahalli,3 BHK,1075.0,2.0,1.0,35000.0
32,Hebbal,3 BHK,1760.0,2.0,2.0,123000.0
33,Raja Rajeshwari Nagar,3 BHK,1693.0,3.0,3.0,57390.0
34,Kasturi Nagar,3 BHK,1925.0,3.0,,125000.0
35,Kanakpura Road,2 BHK,700.0,2.0,1.0,36000.0
36,Electronics City Phase 1,2 BHK,1070.0,2.0,1.0,45500.0
37,Kundalahalli,3 BHK,1724.0,3.0,2.0,125000.0
38,Chikkalasandra,3 BHK,1290.0,2.0,2.0,56120.0
39,Uttarahalli,2 BHK,1143.0,2.0,2.0,45000.0
40,Murugeshpalya,2 BHK,1296.0,2.0,,81000.0
41,Sarjapur  Road,3 BHK,1254.0,3.0,2.0,38000.0
42,Ganga Nagar,1 BHK,600.0,1.0,0.0,38000.0
43,Yelahanka,1 BHK,660.0,1.0,0.0,48000.0
44,Kanakpura Road,2 BHK,1330.74,2.0,2.0,91790.0
45,HSR Layout,8 BHK,600.0,9.0,,200000.0
46,Doddathoguru,2 BHK,970.0,2.0,0.0,33000.0
47,Whitefield,2 BHK,1459.0,2.0,1.0,94820.0
48,KR Puram,2 BHK,800.0,1.0,1.0,130000.0
49,Himagiri Meadows,2 BHK,869.0,2.0,1.0,36000.0
50,Adarsh Nagar,2 BHK,1270.0,2.0,1.0,50000.0
51,Bhoganhalli,3 BHK,1670.0,3.0,1.0,99000.0
52,Whitefield,3 BHK,2010.0,3.0,2.0,91000.0
53,Lakshminarayana Pura,2 BHK,1185.0,2.0,2.0,75000.0
54,Yelahanka,3 BHK,1600.0,2.0,3.0,75000.0
55,Begur Road,2 BHK,1200.0,2.0,2.0,44000.0
56,Devanahalli,4 BHK,3210.0,,,192000.0
57,Ramakrishnappa Layout,2 BHK,1500.0,2.0,2.0,185000.0
58,Murugeshpalya,6 BHK,1407.0,4.0,1.0,150000.0
59,Govindaraja Nagar Ward,2 BHK,840.0,2.0,2.0,45000.0
60,Tharabanahalli,3 BHK,4395.0,3.0,2.0,240000.0
61,Ganga Nagar,2 BHK,845.0,2.0,1.0,55000.0
62,Whitefield,4 BHK,5700.0,5.0,3.0,650000.0
63,Varthur,2 BHK,1160.0,2.0,2.0,44000.0
64,Bommanahalli,8 BHK,3000.0,8.0,0.0,140000.0
65,Doddathoguru,2 BHK,1100.0,2.0,1.0,62000.0
66,Gunjur,2 BHK,1140.0,2.0,3.0,43000.0
67,Marathahalli,2 BHK,1220.0,2.0,1.0,57000.0
68,Devarachikkanahalli,8 BHK,1350.0,7.0,0.0,85000.0
69,Kanakpura Road,2 BHK,1005.0,2.0,1.0,36680.0
70,Double Road,3 BHK,500.0,3.0,2.0,100000.0
71,Begur Road,2 BHK,1358.0,2.0,1.0,80580.0
72,Hegde Nagar,3 BHK,1569.0,3.0,1.0,101000.0
73,Haralur Road,2 BHK,1240.0,2.0,1.0,70000.0
74,Hennur Road,3 BHK,2089.0,3.0,2.0,140000.0
75,Kothannur,2 BHK,1206.0,2.0,1.0,48230.0
76,Kalena Agrahara,2 BHK,1150.0,2.0,3.0,40000.0
77,Cholanayakanahalli,3 BHK,2511.0,3.0,3.0,205000.0
78,Kaval Byrasandra,2 BHK,460.0,1.0,0.0,22000.0
79,ISRO Layout,6 BHK,4400.0,6.0,3.0,250000.0
80,Kodanda Reddy Layout,3 BHK,1660.0,2.0,2.0,105000.0
81,Hennur Road,4 BHK,3203.5,,,224500.0
82,Yelahanka,2 BHK,1326.0,2.0,2.0,78000.0
83,Garudachar Palya,3 BHK,1325.0,2.0,2.0,60800.0
84,EPIP Zone,3 BHK,1499.0,5.0,2.0,102000.0
85,Hegde Nagar,6 BHK,3000.0,7.0,2.0,210000.0
86,Kanakpura Road,3 BHK,1665.0,3.0,2.0,88000.0
87,Dasanapura,2 BHK,708.0,2.0,2.0,37000.0
88,Kasavanhalli,2 BHK,1060.0,2.0,2.0,58060.0
89,Rajaji Nagar,6 BHK,710.0,6.0,3.0,160000.0
90,Sanjay nagar,2 BHK,1000.0,2.0,2.0,70000.0
91,Electronic City,2 BHK,1000.0,2.0,1.0,28880.0
92, Mysore Highway,3 BHK,1450.0,2.0,2.0,70000.0
93,ISRO Layout,4 BHK,1200.0,4.0,2.0,155000.0
94,Thanisandra,2 BHK,1296.0,2.0,3.0,80000.0
95,Domlur,3 BHK,1540.0,3.0,2.0,90000.0
96,Kengeri,4 BHK,2894.0,4.0,1.0,245000.0
97,Sarjapura - Attibele Road,3 BHK,1330.0,2.0,1.0,48000.0
98,Devasthanagalu,2 BHK,1200.0,2.0,1.0,65000.0
99,T Dasarahalli,3 BHK,1200.0,3.0,1.0,90000.0
100,Yeshwanthpur,3 BHK,2502.0,3.0,3.0,138000.0
101,Chandapura,2 BHK,650.0,1.0,1.0,17000.0
102,Kothanur,3 BHK,2400.0,2.0,1.0,150000.0
103,Green View Layout,2 BHK,1007.0,2.0,2.0,43000.0
104,Shantiniketan Layout,2 BHK,1200.0,2.0,2.0,50000.0
105,Peenya,2 BHK,966.0,2.0,2.0,49900.0
106,Nagarbhavi,3 BHK,1630.0,2.0,1.0,98000.0
107,Rajaji Nagar,3 BHK,1640.0,3.0,2.0,229000.0
108,Jalahalli West,2 BHK,782.0,2.0,2.0,55680.0
109,Devanahalli,2 BHK,1260.0,2.0,2.0,66780.0
110,Lakshmiamma Garden,3 BHK,1800.0,3.0,3.0,120000.0
111,Byatarayanapura,3 BHK,1413.0,2.0,2.0,75000.0
112,Whitefield,2 BHK,1116.0,2.0,1.0,51910.0
113,Electronic City,3 BHK,1530.0,2.0,1.0,45900.0
114,Ramamurthy Nagar,4 BHK,3700.0,4.0,1.0,225000.0
115,Sarjapur  Road,3 BHK,2497.0,3.0,2.0,140000.0
116,Kengeri,3 BHK,1540.0,2.0,3.0,64000.0
117,Thanisandra,3 BHK,1436.0,3.0,1.0,74750.0
118,Malleshwaram,2 BHK,1100.0,2.0,2.0,75000.0
119,Hennur Road,2 BHK,276.0,3.0,3.0,23000.0
120,Thanisandra,3 BHK,1427.0,3.0,2.0,120000.0
121,Akshaya Nagar,3 BHK,2061.0,3.0,1.0,200000.0
122,Hebbal,4 BHK,5611.5,4.0,0.0,477000.0
123,Shampura,4 BHK,2650.0,4.0,2.0,150000.0
124,Devanahalli,3 BHK,1282.0,2.0,2.0,68520.0
125,Kadugodi,2 BHK,1050.0,2.0,1.0,34000.0
126,LB Shastri Nagar,3 BHK,1600.0,3.0,2.0,65000.0
127,Vajarahalli,2 BHK,945.0,2.0,1.0,54000.0
128,Hormavu,2 BHK,1500.0,2.0,1.0,78000.0
129,Vishwapriya Layout,7 BHK,950.0,7.0,0.0,115000.0
130,Peenya,3 BHK,1870.0,3.0,3.0,110000.0
131,Sarjapur,3 BHK,1600.0,3.0,1.0,75000.0
132,Electronic City,2 BHK,880.0,1.0,1.0,16500.0
133,Ramaswamy Palya - Kammanahalli Main Road,4 BHK,1200.0,4.0,0.0,210000.0
134,Kudlu Gate,3 BHK,1535.0,3.0,2.0,83000.0
135,Kanakpura Road,2 BHK,950.0,2.0,1.0,57000.0
136,Devanahalli,2 BHK,1360.0,2.0,1.0,65000.0
137,8th Phase JP Nagar,2 BHK,1073.5,2.0,0.0,54005.0
138,Bommasandra Industrial Area,3 BHK,1280.0,3.0,1.0,50400.0
139,Chandra Layout,3 BHK,1260.0,2.0,2.0,85050.0
140,Hennur Road,8 BHK,5000.0,8.0,,250000.0
141,Yelahanka,5 BHK,3050.0,5.0,1.0,213000.0
142,Kasavanhalli,3 BHK,1563.05,3.0,1.0,105000.0
143,ISRO Layout,2 BHK,1000.0,2.0,1.0,60000.0
144,Anandapura,2 BHK,1167.0,2.0,1.0,43760.0
145,Vishveshwarya Layout,7 BHK,4000.0,7.0,2.0,225000.0
146,Kothanur,3 BHK,1828.0,3.0,,110000.0
147,Kengeri Satellite Town,2 BHK,890.0,2.0,1.0,35000.0
148,Basavanapura,3 BHK,1612.0,3.0,3.0,46740.0
149,Dinnur,6 BHK,1034.0,5.0,,185000.0
150,Mysore Road,3 BHK,1710.0,4.0,2.0,91310.0
151,Kannamangala,2 BHK,957.0,2.0,1.0,58000.0
152, Devarachikkanahalli,3 BHK,1250.0,2.0,3.0,44000.0
153,Sanjeevini Nagar,3 BHK,2795.0,4.0,,235000.0
154,Hulimavu,2 BHK,1125.0,2.0,2.0,50000.0
155,Electronic City Phase II,2 BHK,1020.0,2.0,1.0,30600.0
156,Kalena Agrahara,2 BHK,1200.0,2.0,2.0,50000.0
157,Thanisandra,3 BHK,1735.0,3.0,3.0,135000.0
158,Thanisandra,3 BHK,2050.0,3.0,1.0,145000.0
159,Mahalakshmi Layout,4 BHK,3750.0,4.0,0.0,760000.0
160,Yarandahalli,3 BHK,1350.0,2.0,3.0,48000.0
161,Hosa Road,2 BHK,1063.0,2.0,1.0,32000.0
162,Keshava Nagar,3 BHK,1904.0,3.0,1.0,150000.0
163,Whitefield,4 BHK,4200.0,4.0,2.0,420000.0
164,RMV Extension,3 BHK,2000.0,3.0,1.0,175000.0
165,Sarjapur,2 BHK,1242.5,2.0,0.0,43490.0
166,Tejaswini Nagar,3 BHK,1425.0,2.0,2.0,75000.0
167,Electronic City,3 BHK,1500.0,2.0,1.0,64500.0
168,Electronic City,2 BHK,1060.0,2.0,1.0,60000.0
169,Jai Bheema Nagar,3 BHK,1470.0,2.0,2.0,70000.0
170,Kothnur Narayanapura,6 BHK,1300.0,6.0,0.0,99000.0
171,Attibele,1 BHK,450.0,1.0,1.0,11000.0
172,Electronic City,2 BHK,1152.0,2.0,1.0,64500.0
173,Electronic City,3 BHK,1350.0,2.0,1.0,56000.0
174,CV Raman Nagar,3 BHK,1550.0,3.0,3.0,65000.0
175,CHIKKATIRUPATHI,3 BHK,1500.0,3.0,2.0,100000.0
176,Kumaraswami Layout,5 BHK,600.0,3.0,2.0,85000.0
177,Nagavara,1 BHK,400.0,1.0,0.0,14000.0
178,Malleshwaram,1 BHK,705.0,1.0,2.0,67000.0
179,Electronic City,2 BHK,770.0,1.0,1.0,36000.0
180,Hulimavu,2 BHK,1242.0,2.0,3.0,51000.0
